REF_DATE,GEO,Prices,Estimates,UOM,SCALAR_FACTOR,VALUE,GDP Percentage Change (%)
2001,Alberta,Chained (2012) dollars,Gross domestic product at market prices,Dollars,millions,222271,1.6%
2002,Alberta,Chained (2012) dollars,Gross domestic product at market prices,Dollars,millions,227363,2.3%
2003,Alberta,Chained (2012) dollars,Gross domestic product at market prices,Dollars,millions,235234,3.5%
2004,Alberta,Chained (2012) dollars,Gross domestic product at market prices,Dollars,millions,248322,5.6%
2005,Alberta,Chained (2012) dollars,Gross domestic product at market prices,Dollars,millions,259282,4.4%
2006,Alberta,Chained (2012) dollars,Gross domestic product at market prices,Dollars,millions,275756,6.4%
2007,Alberta,Chained (2012) dollars,Gross domestic product at market prices,Dollars,millions,280600,1.8%
2008,Alberta,Chained (2012) dollars,Gross domestic product at market prices,Dollars,millions,285125,1.6%
2009,Alberta,Chained (2012) dollars,Gross domestic product at market prices,Dollars,millions,269322,-5.5%
2010,Alberta,Chained (2012) dollars,Gross domestic product at market prices,Dollars,millions,282702,5.0%
2011,Alberta,Chained (2012) dollars,Gross domestic product at market prices,Dollars,millions,300948,6.5%
2012,Alberta,Chained (2012) dollars,Gross domestic product at market prices,Dollars,millions,312708,3.9%
2013,Alberta,Chained (2012) dollars,Gross domestic product at market prices,Dollars,millions,330548,5.7%
2014,Alberta,Chained (2012) dollars,Gross domestic product at market prices,Dollars,millions,350033,5.9%
2015,Alberta,Chained (2012) dollars,Gross domestic product at market prices,Dollars,millions,337069,-3.7%
2016,Alberta,Chained (2012) dollars,Gross domestic product at market prices,Dollars,millions,325421,-3.5%
2017,Alberta,Chained (2012) dollars,Gross domestic product at market prices,Dollars,millions,340062,4.5%
2018,Alberta,Chained (2012) dollars,Gross domestic product at market prices,Dollars,millions,347593,2.2%
2019,Alberta,Chained (2012) dollars,Gross domestic product at market prices,Dollars,millions,347186,-0.1%
2020,Alberta,Chained (2012) dollars,Gross domestic product at market prices,Dollars,millions,319706,-7.9%
